iter	F1	Logloss
0	0.7137176938	0.6906714342
1	0.745308311	0.6878844109
2	0.7735986411	0.6851897628
3	0.7718622019	0.6828194178
4	0.7861025762	0.6806048884
5	0.7846776112	0.6783076479
6	0.7808841099	0.6756052852
7	0.7754512635	0.6733084075
8	0.7749273959	0.6708286245
9	0.7773972603	0.6682847649
10	0.7754804184	0.6662696829
11	0.7805115713	0.6636829868
12	0.7784518321	0.6615820495
13	0.7766707169	0.6595017664
14	0.7819548872	0.6573554655
15	0.7811741873	0.6553056927
16	0.7831354495	0.6529304871
17	0.7818889971	0.650411971
18	0.7826086957	0.6486746166
19	0.7859733978	0.6467705528
20	0.7838099855	0.6443352262
21	0.7896267571	0.64197848
22	0.7903264813	0.6400438515
23	0.7935124667	0.6378684884
24	0.7934124485	0.6357741844
25	0.7962291516	0.6339390353
26	0.792261185	0.6322613008
27	0.7945867569	0.6305230579
28	0.7929366231	0.6283663554
29	0.7912246866	0.6267116968
30	0.7901114881	0.6246260487
31	0.7912034799	0.6231971354
32	0.7906528547	0.6215302919
33	0.7897411082	0.6194063473
34	0.7920887603	0.6177927264
35	0.7884057971	0.6162993931
36	0.7950937951	0.6143457498
37	0.7952963763	0.6126629158
38	0.794822627	0.6111148911
39	0.7955801105	0.609355927
40	0.7969238164	0.6075533044
41	0.7977958793	0.6062504155
42	0.7981826877	0.6046624803
43	0.7971257485	0.6030805944
44	0.7969348659	0.6015941952
45	0.7966426859	0.6001442366
46	0.7962652621	0.5987560561
47	0.7958693564	0.5970023932
48	0.7927884615	0.5956439753
49	0.7929706307	0.5938581769
50	0.794322829	0.5924185174
51	0.7949951877	0.5909944679
52	0.7957661775	0.5895719467
53	0.7955747956	0.5881926138
54	0.7961492178	0.5869606281
55	0.7960510474	0.5857198867
56	0.7973982173	0.5840782439
57	0.7982646421	0.5825820489
58	0.7990373045	0.5812845563
59	0.801732435	0.5793162765
60	0.8012527102	0.5780547241
61	0.8040345821	0.5769305922
62	0.8029829204	0.5752726247
63	0.8041336217	0.5739468306
64	0.8032708033	0.5725408384
65	0.8041286606	0.571245068
66	0.8038461538	0.5700019433
67	0.8024038462	0.5685537195
68	0.8038461538	0.5673367551
69	0.8041336217	0.5660950894
70	0.8037518038	0.5646242194
71	0.8048192771	0.5631262915
72	0.8037608486	0.5620797327
73	0.8038554217	0.5607174286
74	0.8045257583	0.5595911356
75	0.8046198268	0.5584566628
76	0.80625	0.5571683703
77	0.8065368902	0.5560193791
78	0.8057692308	0.5548710229
79	0.8051010587	0.5534599503
80	0.8051072031	0.5521833635
81	0.8066457982	0.550928397
82	0.8062650602	0.5496900242
83	0.8059773439	0.5486486004
84	0.8058837714	0.5473328462
85	0.8064671815	0.5460515554
86	0.806763285	0.5449861532
87	0.8061865636	0.5435414544
88	0.8060928433	0.5424747886
89	0.80734832	0.5414558582
90	0.8096618357	0.5403097513
91	0.8091676719	0.5393445795
92	0.8090755491	0.5380812914
93	0.8081198647	0.5369464615
94	0.8081198647	0.536010119
95	0.8102366007	0.5350237687
96	0.810340662	0.5338778698
97	0.809374245	0.532688632
98	0.809385583	0.5314725858
99	0.8094083414	0.5298816624
