iter	Passed	Remaining
0	72	7190
1	94	4612
2	107	3461
3	122	2949
4	131	2493
5	136	2138
6	143	1910
7	148	1709
8	154	1564
9	160	1441
10	163	1324
11	167	1230
12	175	1173
13	181	1113
14	187	1064
15	194	1019
16	199	975
17	211	963
18	217	929
19	226	905
20	235	886
21	243	864
22	249	834
23	254	807
24	260	782
25	265	755
26	268	726
27	276	710
28	281	688
29	285	667
30	290	646
31	295	626
32	298	605
33	303	588
34	307	571
35	314	559
36	319	544
37	324	529
38	327	512
39	331	497
40	336	484
41	342	472
42	345	458
43	348	444
44	354	433
45	357	420
46	361	407
47	365	395
48	373	388
49	381	381
50	386	371
51	392	362
52	396	351
53	402	342
54	407	333
55	410	322
56	413	312
57	420	304
58	424	295
59	428	285
60	434	277
61	440	269
62	444	260
63	450	253
64	457	246
65	461	237
66	467	230
67	470	221
68	475	213
69	479	205
70	484	198
71	489	190
72	493	182
73	497	174
74	503	167
75	506	160
76	511	152
77	520	146
78	528	140
79	537	134
80	541	126
81	545	119
82	550	112
83	556	106
84	564	99
85	570	92
86	575	86
87	579	79
88	584	72
89	588	65
90	593	58
91	598	52
92	606	45
93	614	39
94	622	32
95	626	26
96	634	19
97	641	13
98	647	6
99	651	0
